target_id	sequence_index	chain_ids	changed	original_len	optimized_len	removed_n	removed_c	rules
H2223	2	C	true	216	108	0	108	trim_c_antibody_constant:108
T1298O	0	A,B	false	342	342	0	0	none
H1204	0	A,B	false	134	134	0	0	none
H1204	1	C,D	false	147	147	0	0	none
H1204	2	E,F	false	142	142	0	0	none
H2204	0	A,B	false	134	134	0	0	none
H2204	1	C,D	false	147	147	0	0	none
H2204	2	E,F	false	142	142	0	0	none
H0232	0	A,B	false	220	220	0	0	none
H0232	1	C,D	false	242	242	0	0	none
H1232	0	A,B	false	220	220	0	0	none
H1232	1	C,D	false	242	242	0	0	none
H2232	0	A,B	false	220	220	0	0	none
H2232	1	C,D	false	242	242	0	0	none
H0227	0	A	false	427	427	0	0	none
H0227	1	B	false	877	877	0	0	none
H1227	0	A	false	427	427	0	0	none
H1227	1	B	false	877	877	0	0	none
H2227	0	A	false	427	427	0	0	none
H2227	1	B	false	877	877	0	0	none
H0233	0	A,B	false	219	219	0	0	none
H0233	1	C,D	true	222	119	0	103	trim_c_antibody_constant:119
H0233	2	E,F	true	217	109	0	108	trim_c_antibody_constant:109
H1233	0	A,B	false	219	219	0	0	none
H1233	1	C,D	true	222	119	0	103	trim_c_antibody_constant:119
H1233	2	E,F	true	217	109	0	108	trim_c_antibody_constant:109
H2233	0	A,B	false	219	219	0	0	none
H2233	1	C,D	true	222	119	0	103	trim_c_antibody_constant:119
H2233	2	E,F	true	217	109	0	108	trim_c_antibody_constant:109
H1213	0	A	false	330	330	0	0	none
H1213	1	B	false	61	61	0	0	none
H1213	2	C	false	377	377	0	0	none
H1213	3	D	false	282	282	0	0	none
H1213	4	E	false	323	323	0	0	none
H2213	0	A	false	330	330	0	0	none
H2213	1	B	false	61	61	0	0	none
H2213	2	C	false	377	377	0	0	none
H2213	3	D	false	282	282	0	0	none
H2213	4	E	false	323	323	0	0	none
T1249V1O	0	A,B,C	false	488	488	0	0	none
T2249V1O	0	A,B,C	false	488	488	0	0	none
H0236	0	A,B,C	false	413	413	0	0	none
H0236	1	D,E,F,G,H,I	false	115	115	0	0	none
H1236	0	A,B,C	false	413	413	0	0	none
H1236	1	D,E,F,G,H,I	false	115	115	0	0	none
H2236	0	A,B,C	false	413	413	0	0	none
H2236	1	D,E,F,G,H,I	false	115	115	0	0	none
H0272	0	B	false	363	363	0	0	none
H0272	1	C	false	318	318	0	0	none
H0272	2	D	false	289	289	0	0	none
H0272	3	E	false	291	291	0	0	none
H0272	4	F	false	624	624	0	0	none
H0272	5	G	false	202	202	0	0	none
H0272	6	I	false	198	198	0	0	none
H1272	0	B	false	363	363	0	0	none
H1272	1	C	false	318	318	0	0	none
H1272	2	D	false	289	289	0	0	none
H1272	3	E	false	291	291	0	0	none
H1272	4	F	false	624	624	0	0	none
H1272	5	G	false	202	202	0	0	none
H1272	6	I	false	198	198	0	0	none
H2272	0	B	false	363	363	0	0	none
H2272	1	C	false	318	318	0	0	none
H2272	2	D	false	289	289	0	0	none
H2272	3	E	false	291	291	0	0	none
H2272	4	F	false	624	624	0	0	none
H2272	5	G	false	202	202	0	0	none
H2272	6	I	false	198	198	0	0	none
H0220	0	A	false	1711	1711	0	0	none
H0220	1	B,C,D,E	false	201	201	0	0	none
H1220	0	A	false	1711	1711	0	0	none
H1220	1	B,C,D,E	false	201	201	0	0	none
H2220	0	A	false	1711	1711	0	0	none
H2220	1	B,C,D,E	false	201	201	0	0	none
H0258	0	A	false	2535	2535	0	0	none
H1258	0	A	false	2535	2535	0	0	none
H2258	0	A	false	2535	2535	0	0	none
T0206	0	A	false	237	237	0	0	none
T0234	0	A	false	413	413	0	0	none
T0235	0	A	false	115	115	0	0	none
T1201	0	A,B	false	204	204	0	0	none
T1206	0	A	false	237	237	0	0	none
T1210	0	A	false	1770	1770	0	0	none
T1234	0	A	false	413	413	0	0	none
T1235	0	A	false	115	115	0	0	none
T1249V1	0	A,B,C	false	488	488	0	0	none
T1266	0	A	false	316	316	0	0	none
T1269	0	A	false	1410	1410	0	0	none
T1280	0	A	false	237	237	0	0	none
T1298	0	A,B	false	342	342	0	0	none
T1299	0	A	false	168	168	0	0	none
T2201	0	A,B	false	204	204	0	0	none
T2206	0	A	false	237	237	0	0	none
T2210	0	A	false	1770	1770	0	0	none
T2234	0	A	false	413	413	0	0	none
T2235	0	A	false	115	115	0	0	none
T2249V1	0	A,B,C	false	488	488	0	0	none
T2266	0	A	false	316	316	0	0	none
T2269	0	A	false	1410	1410	0	0	none
T2280	0	A	false	237	237	0	0	none
