target_id	sequence_index	chain_ids	changed	original_len	optimized_len	removed_n	removed_c	rules
H0223	1	B	false	229	229	0	0	
H0223	2	C	false	216	216	0	0	
H0225	0	A	false	41	41	0	0	
H0225	1	B	false	227	227	0	0	
H0225	2	C	false	215	215	0	0	
H0227	0	A	false	427	427	0	0	
H0227	1	B	false	877	877	0	0	
H0229	0	A	false	788	788	0	0	
H0229	1	B	false	199	199	0	0	
H0230	0	A	false	788	788	0	0	
H0230	1	B	false	196	196	0	0	
H0232	0	A	false	220	220	0	0	
H0232	1	B	false	242	242	0	0	
H0233	0	A	false	219	219	0	0	
H0233	1	B	false	222	222	0	0	
H0233	2	C	false	217	217	0	0	
H0236	0	A	false	413	413	0	0	
H0236	1	B	false	115	115	0	0	
H0244	0	A	false	157	157	0	0	
H0244	1	B	false	129	129	0	0	
H0244	2	C	false	139	139	0	0	
H0245	0	A	false	183	183	0	0	
H0245	1	B	false	134	134	0	0	
H0258	0	A	true	2562	2535	27	0	trim_n:MGSDYKDHDGDYKDHDIDYKDDDDKLG
H0258	1	B	true	265	247	18	0	trim_n:MGSHHHHHHSGENLYFQG
H0265	0	A	false	150	150	0	0	
H0265	1	B	false	143	143	0	0	
H0267	0	A	false	444	444	0	0	
H0267	1	B	false	482	482	0	0	
H0272	0	A	false	3696	3696	0	0	
H0272	1	B	false	363	363	0	0	
H0272	2	C	false	318	318	0	0	
H0272	3	D	false	289	289	0	0	
H0272	4	E	false	291	291	0	0	
H0272	5	F	false	624	624	0	0	
H0272	6	G	false	242	242	0	0	
H0272	7	H	false	818	818	0	0	
H0272	8	I	false	238	238	0	0	
H1202	0	A,B	false	69	69	0	0	
H1202	1	C,D	false	121	121	0	0	
H1204	0	A,B	true	140	134	0	6	trim_c:HHHHHH
H1204	1	C,D	false	147	147	0	0	
H1204	2	E,F	false	142	142	0	0	
H1208	0	A	false	328	328	0	0	
H1208	1	B	false	318	318	0	0	
H1215	0	A	false	131	131	0	0	
H1215	1	B	false	238	238	0	0	
H1217	0	A	false	305	305	0	0	
H1217	1	B	false	351	351	0	0	
H1217	2	C	false	452	452	0	0	
H1217	3	D	false	523	523	0	0	
H1217	4	E	false	721	721	0	0	
H1217	5	F	false	587	587	0	0	
H1222	0	A	false	41	41	0	0	
H1222	1	B	false	224	224	0	0	
H1222	2	C	false	220	220	0	0	
H1223	0	A	false	41	41	0	0	
H1223	1	B	false	229	229	0	0	
H1223	2	C	false	216	216	0	0	
H1225	0	A	false	41	41	0	0	
H1225	1	B	false	227	227	0	0	
H1225	2	C	false	215	215	0	0	
H1227	0	A	false	427	427	0	0	
H1227	1	B	false	877	877	0	0	
H1229	0	A	false	788	788	0	0	
H1229	1	B	false	199	199	0	0	
H1230	0	A	false	788	788	0	0	
H1230	1	B	false	196	196	0	0	
H1232	0	A	false	220	220	0	0	
H1232	1	B	false	242	242	0	0	
H1233	0	A	false	219	219	0	0	
H1233	1	B	false	222	222	0	0	
H1233	2	C	false	217	217	0	0	
H1236	0	A	false	413	413	0	0	
H1236	1	B	false	115	115	0	0	
H1244	0	A	false	157	157	0	0	
H1244	1	B	false	129	129	0	0	
H1244	2	C	false	139	139	0	0	
H1245	0	A	false	183	183	0	0	
H1245	1	B	false	134	134	0	0	
H1258	0	A	true	2562	2535	27	0	trim_n:MGSDYKDHDGDYKDHDIDYKDDDDKLG
H1258	1	B	true	265	247	18	0	trim_n:MGSHHHHHHSGENLYFQG
H1265	0	A	false	150	150	0	0	
H1265	1	B	false	143	143	0	0	
H1267	0	A	false	444	444	0	0	
H1267	1	B	false	482	482	0	0	
H1272	0	A	false	3696	3696	0	0	
H1272	1	B	false	363	363	0	0	
H1272	2	C	false	318	318	0	0	
H1272	3	D	false	289	289	0	0	
H1272	4	E	false	291	291	0	0	
H1272	5	F	false	624	624	0	0	
H1272	6	G	false	242	242	0	0	
H1272	7	H	false	818	818	0	0	
H1272	8	I	false	238	238	0	0	
T0206O	0	A	false	237	237	0	0	
T0218O	0	A	false	1164	1164	0	0	
T0234O	0	A	false	413	413	0	0	
T0235O	0	A	false	115	115	0	0	
T0237O	0	A	false	488	488	0	0	
T0240O	0	A	false	653	653	0	0	
T0257O	0	A	false	1263	1263	0	0	
T0259O	0	A	false	243	243	0	0	
T0270O	0	A	false	437	437	0	0	
T1201O	0	A,B	true	210	204	0	6	trim_c:HHHHHH
T1206O	0	A	false	237	237	0	0	
T1218O	0	A	false	1164	1164	0	0	
T1234O	0	A	false	413	413	0	0	
T1235O	0	A	false	115	115	0	0	
T1237O	0	A	false	488	488	0	0	
T1240O	0	A	false	653	653	0	0	
T1249V1O	0	A,B,C	false	488	488	0	0	
T1257O	0	A	false	1263	1263	0	0	
T1259O	0	A	false	243	243	0	0	
T1270O	0	A	false	437	437	0	0	
T1292O	0	A,B	true	196	190	0	6	trim_c:HHHHHH
T1294V1O	0	A,B	false	214	214	0	0	
T1295O	0	A,B,C,D,E,F,G,H	false	469	469	0	0	
T1298O	0	A,B	false	342	342	0	0	
