target_id	track	status	skip_reason	benchmark_oligo_state	official_oligo_state	original_counts	optimized_counts	original_chain_ids	optimized_chain_ids	original_total_len	optimized_total_len	rules
H0217	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1,1,1,1	1,1,1,1,1,1	A,B,C,D,E,F	A,B,C,D,E,F	2939	2939	none
H0220	protein_oligo	unchanged	requires_protein_only_job	UNK	UNK	none	none	none	none	0	0	none
H0222	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	485	485	none
H0223	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	486	486	none
H0225	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	483	483	none
H0227	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	1304	1304	none
H0229	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	987	987	none
H0230	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	984	984	none
H0232	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	462	462	none
H0233	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	658	658	none
H0236	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	528	528	none
H0244	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	425	425	none
H0245	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	317	317	none
H0258	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	2827	2827	none
H0265	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	293	293	none
H0267	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	926	926	none
H0272	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1	A,B,C,D,E,F,G,H,I	A,B,C,D,E,F,G,H,I	6879	6879	none
H1202	protein_oligo	unchanged	already_matches_official_oligo_state	A2B2	A2B2	2,2	2,2	A,B,C,D	A,B,C,D	380	380	none
H1204	protein_oligo	unchanged	already_matches_official_oligo_state	A2B2C2	A2B2C2	2,2,2	2,2,2	A,B,C,D,E,F	A,B,C,D,E,F	846	846	none
H1208	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	646	646	none
H1215	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	369	369	none
H1217	protein_oligo	changed	none	UNK	A2B2C2D2E2F2	1,1,1,1,1,1	2,2,2,2,2,2	A,B,C,D,E,F	A,B,C,D,E,F,G,H,I,J,K,L	2939	5878	recover_official_oligo_state,benchmark_state_was_unknown,oversize_after_recovery:2560
H1220	protein_oligo	unchanged	requires_protein_only_job	UNK	A1B4	none	none	none	none	0	0	none
H1222	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1C1	1,1,1	1,1,1	A,B,C	A,B,C	485	485	none
H1223	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1C1	1,1,1	1,1,1	A,B,C	A,B,C	486	486	none
H1225	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1C1	1,1,1	1,1,1	A,B,C	A,B,C	483	483	none
H1227	protein_oligo	changed	none	UNK	A1B6	1,1	1,6	A,B	A,B,C,D,E,F,G	1304	5689	recover_official_oligo_state,benchmark_state_was_unknown,oversize_after_recovery:2560
H1229	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	987	987	none
H1230	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	984	984	none
H1232	protein_oligo	changed	none	UNK	A2B2	1,1	2,2	A,B	A,B,C,D	462	924	recover_official_oligo_state,benchmark_state_was_unknown
H1233	protein_oligo	changed	none	UNK	A2B2C2	1,1,1	2,2,2	A,B,C	A,B,C,D,E,F	658	1316	recover_official_oligo_state,benchmark_state_was_unknown
H1236	protein_oligo	changed	none	UNK	A3B6	1,1	3,6	A,B	A,B,C,D,E,F,G,H,I	528	1929	recover_official_oligo_state,benchmark_state_was_unknown
H1244	protein_oligo	changed	none	UNK	A2B2C2	1,1,1	2,2,2	A,B,C	A,B,C,D,E,F	425	850	recover_official_oligo_state,benchmark_state_was_unknown
H1245	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	317	317	none
H1258	protein_oligo	changed	none	UNK	A1B2	1,1	1,2	A,B	A,B,C	2827	3092	recover_official_oligo_state,benchmark_state_was_unknown,oversize_after_recovery:2560
H1265	protein_oligo	changed	none	UNK	A9B18	1,1	9,18	A,B	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA	293	3924	recover_official_oligo_state,benchmark_state_was_unknown,oversize_after_recovery:2560
H1267	protein_oligo	changed	none	UNK	A2B2	1,1	2,2	A,B	A,B,C,D	926	1852	recover_official_oligo_state,benchmark_state_was_unknown
H1272	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1C1D1E1F1G1H1I1	1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1	A,B,C,D,E,F,G,H,I	A,B,C,D,E,F,G,H,I	6879	6879	none
T0206O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	237	237	none
T0218O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	1164	1164	none
T0234O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	413	413	none
T0235O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	115	115	none
T0237O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	488	488	none
T0240O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	653	653	none
T0257O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	1263	1263	none
T0259O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	243	243	none
T0270O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	437	437	none
T1201O	protein_oligo	unchanged	official_oligo_state_unavailable	A2	none	2	2	A,B	A,B	408	408	none
T1206O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	237	237	none
T1218O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	1164	1164	none
T1234O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	413	413	none
T1235O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	115	115	none
T1237O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	488	488	none
T1240O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	653	653	none
T1249V1O	protein_oligo	unchanged	official_oligo_state_unavailable	A3	none	3	3	A,B,C	A,B,C	1464	1464	none
T1257O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	1263	1263	none
T1259O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	243	243	none
T1270O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	437	437	none
T1292O	protein_oligo	unchanged	official_oligo_state_unavailable	A2	none	2	2	A,B	A,B	380	380	none
T1294V1O	protein_oligo	unchanged	official_oligo_state_unavailable	A2	none	2	2	A,B	A,B	428	428	none
T1295O	protein_oligo	unchanged	official_oligo_state_unavailable	A8	none	8	8	A,B,C,D,E,F,G,H	A,B,C,D,E,F,G,H	3752	3752	none
T1298O	protein_oligo	unchanged	official_oligo_state_unavailable	A2	none	2	2	A,B	A,B	684	684	none
