target_id	track	status	skip_reason	source_lookup_id	source_record_ids	source_target_ids	oligo_state	entity_count	chain_count	total_len	rules
H1223	protein_oligo	already_covered	none	none	none	none	UNK	3	3	486	existing_input_covers_scoreable_target
H1225	protein_oligo	already_covered	none	none	none	none	UNK	3	3	483	existing_input_covers_scoreable_target
H1227	protein_oligo	already_covered	none	none	none	none	UNK	2	2	1304	existing_input_covers_scoreable_target
H1232	protein_oligo	already_covered	none	none	none	none	UNK	2	4	924	existing_input_covers_scoreable_target
H1233	protein_oligo	already_covered	none	none	none	none	UNK	3	6	1316	existing_input_covers_scoreable_target
H1236	protein_oligo	already_covered	none	none	none	none	UNK	2	9	1929	existing_input_covers_scoreable_target
H1258	protein_oligo	already_covered	none	none	none	none	UNK	1	1	2535	existing_input_covers_scoreable_target
H1272	protein_oligo	already_covered	none	none	none	none	UNK	7	7	2285	existing_input_covers_scoreable_target
H2202	protein_oligo	already_covered	none	none	none	none	A2B2	2	4	380	existing_input_covers_scoreable_target
H2204	protein_oligo	already_covered	none	none	none	none	A2B2C2	3	6	846	existing_input_covers_scoreable_target
H2213	protein_oligo	already_covered	none	none	none	none	UNK	5	5	1373	existing_input_covers_scoreable_target
H2220	protein_oligo	already_covered	none	none	none	none	UNK	2	5	2515	existing_input_covers_scoreable_target
H2222	protein_oligo	already_covered	none	none	none	none	UNK	3	3	485	existing_input_covers_scoreable_target
H2223	protein_oligo	already_covered	none	none	none	none	UNK	3	3	486	existing_input_covers_scoreable_target
H2225	protein_oligo	already_covered	none	none	none	none	UNK	3	3	483	existing_input_covers_scoreable_target
H2227	protein_oligo	already_covered	none	none	none	none	UNK	2	2	1304	existing_input_covers_scoreable_target
H2232	protein_oligo	already_covered	none	none	none	none	UNK	2	4	924	existing_input_covers_scoreable_target
H2233	protein_oligo	already_covered	none	none	none	none	UNK	3	6	1316	existing_input_covers_scoreable_target
H2236	protein_oligo	already_covered	none	none	none	none	UNK	2	9	1929	existing_input_covers_scoreable_target
H2258	protein_oligo	already_covered	none	none	none	none	UNK	1	1	2535	existing_input_covers_scoreable_target
H2272	protein_oligo	already_covered	none	none	none	none	UNK	7	7	2285	existing_input_covers_scoreable_target
T0206O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	237	existing_input_covers_scoreable_target
T0234O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	413	existing_input_covers_scoreable_target
T0235O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	115	existing_input_covers_scoreable_target
T1201O	protein_oligo	already_covered	none	none	none	none	A2	1	2	408	existing_input_covers_scoreable_target
T1206O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	237	existing_input_covers_scoreable_target
T1234O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	413	existing_input_covers_scoreable_target
T1235O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	115	existing_input_covers_scoreable_target
T1249V1O	protein_oligo	already_covered	none	none	none	none	A3	1	3	1464	existing_input_covers_scoreable_target
T1249V2O	protein_oligo	added	none	T1249V1	T1249v1	T1249V1	A3	1	3	1464	scoreable_input_repair,alias_fallback:T1249V1
T1269V1O	protein_oligo	added	none	T1269	T1269	T1269	An	1	1	1410	scoreable_input_repair,alias_fallback:T1269,unparsed_oligo_state:An
T1298O	protein_oligo	already_covered	none	none	none	none	A2	1	2	684	existing_input_covers_scoreable_target
T2201O	protein_oligo	already_covered	none	none	none	none	A2	1	2	408	existing_input_covers_scoreable_target
T2206O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	237	existing_input_covers_scoreable_target
T2234O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	413	existing_input_covers_scoreable_target
T2235O	protein_oligo	already_covered	none	none	none	none	UNK	1	1	115	existing_input_covers_scoreable_target
T2249V1O	protein_oligo	already_covered	none	none	none	none	A3	1	3	1464	existing_input_covers_scoreable_target
T2249V2O	protein_oligo	added	none	T1249V1	T1249v1	T1249V1	A3	1	3	1464	scoreable_input_repair,alias_fallback:T1249V1
