target_id	track	status	skip_reason	original_total_len	cleaned_total_len	optimized_total_len	original_entity_count	optimized_entity_count	original_chain_ids	optimized_chain_ids	dropped_chain_ids	rules
H1236	protein_oligo	unchanged	within_token_limit	1929	1929	1929	2	2	A,B,C,D,E,F,G,H,I	A,B,C,D,E,F,G,H,I	none	none
H1244	protein_oligo	unchanged	within_token_limit	850	850	850	3	3	A,B,C,D,E,F	A,B,C,D,E,F	none	none
H1245	protein_oligo	unchanged	within_token_limit	317	317	317	2	2	A,B	A,B	none	none
H1258	protein_oligo	changed	none	2782	2782	2535	2	1	A,B	A	B	oversize_prefix_budget:2560,dropped_chains:1
H1265	protein_oligo	unchanged	within_token_limit	293	293	293	2	2	A,B	A,B	none	none
H1267	protein_oligo	unchanged	within_token_limit	1852	1852	1852	2	2	A,B,C,D	A,B,C,D	none	none
H1272	protein_oligo	changed	none	6799	6799	2285	9	7	A,B,C,D,E,F,G,H,I	B,C,D,E,F,G,I	A,H	oversize_prefix_budget:2560,dropped_chains:2
H2202	protein_oligo	unchanged	within_token_limit	380	380	380	2	2	A,B,C,D	A,B,C,D	none	none
H2204	protein_oligo	unchanged	within_token_limit	846	846	846	3	3	A,B,C,D,E,F	A,B,C,D,E,F	none	none
H2208	protein_oligo	unchanged	within_token_limit	646	646	646	2	2	A,B	A,B	none	none
H2215	protein_oligo	unchanged	within_token_limit	369	369	369	2	2	A,B	A,B	none	none
H2217	protein_oligo	changed	none	2899	2899	2312	6	5	A,B,C,D,E,F	A,B,C,D,E	F	oversize_prefix_budget:2560,dropped_chains:1
H2220	protein_oligo	unchanged	within_token_limit	2515	2515	2515	2	2	A,B,C,D,E	A,B,C,D,E	none	none
H2222	protein_oligo	unchanged	within_token_limit	485	485	485	3	3	A,B,C	A,B,C	none	none
H2223	protein_oligo	unchanged	within_token_limit	486	486	486	3	3	A,B,C	A,B,C	none	none
H2225	protein_oligo	unchanged	within_token_limit	483	483	483	3	3	A,B,C	A,B,C	none	none
H2227	protein_oligo	unchanged	within_token_limit	1304	1304	1304	2	2	A,B	A,B	none	none
H2229	protein_oligo	unchanged	within_token_limit	987	987	987	2	2	A,B	A,B	none	none
H2230	protein_oligo	unchanged	within_token_limit	984	984	984	2	2	A,B	A,B	none	none
H2232	protein_oligo	unchanged	within_token_limit	924	924	924	2	2	A,B,C,D	A,B,C,D	none	none
H2233	protein_oligo	unchanged	within_token_limit	1316	1316	1316	3	3	A,B,C,D,E,F	A,B,C,D,E,F	none	none
H2236	protein_oligo	unchanged	within_token_limit	1929	1929	1929	2	2	A,B,C,D,E,F,G,H,I	A,B,C,D,E,F,G,H,I	none	none
H2244	protein_oligo	unchanged	within_token_limit	850	850	850	3	3	A,B,C,D,E,F	A,B,C,D,E,F	none	none
H2245	protein_oligo	unchanged	within_token_limit	317	317	317	2	2	A,B	A,B	none	none
H2258	protein_oligo	changed	none	2782	2782	2535	2	1	A,B	A	B	oversize_prefix_budget:2560,dropped_chains:1
H2265	protein_oligo	unchanged	within_token_limit	293	293	293	2	2	A,B	A,B	none	none
H2267	protein_oligo	unchanged	within_token_limit	1852	1852	1852	2	2	A,B,C,D	A,B,C,D	none	none
H2272	protein_oligo	changed	none	6799	6799	2285	9	7	A,B,C,D,E,F,G,H,I	B,C,D,E,F,G,I	A,H	oversize_prefix_budget:2560,dropped_chains:2
T0206O	protein_oligo	unchanged	within_token_limit	237	237	237	1	1	A	A	none	none
T0218O	protein_oligo	unchanged	within_token_limit	1164	1164	1164	1	1	A	A	none	none
T0234O	protein_oligo	unchanged	within_token_limit	413	413	413	1	1	A	A	none	none
T0235O	protein_oligo	unchanged	within_token_limit	115	115	115	1	1	A	A	none	none
T0237O	protein_oligo	unchanged	within_token_limit	488	488	488	1	1	A	A	none	none
T0240O	protein_oligo	unchanged	within_token_limit	653	653	653	1	1	A	A	none	none
T0257O	protein_oligo	unchanged	within_token_limit	1263	1263	1263	1	1	A	A	none	none
T0259O	protein_oligo	unchanged	within_token_limit	243	243	243	1	1	A	A	none	none
T0270O	protein_oligo	unchanged	within_token_limit	437	437	437	1	1	A	A	none	none
T1201O	protein_oligo	unchanged	within_token_limit	408	408	408	1	1	A,B	A,B	none	none
T1206O	protein_oligo	unchanged	within_token_limit	237	237	237	1	1	A	A	none	none
T1218O	protein_oligo	unchanged	within_token_limit	1164	1164	1164	1	1	A	A	none	none
T1234O	protein_oligo	unchanged	within_token_limit	413	413	413	1	1	A	A	none	none
T1235O	protein_oligo	unchanged	within_token_limit	115	115	115	1	1	A	A	none	none
T1237O	protein_oligo	unchanged	within_token_limit	488	488	488	1	1	A	A	none	none
T1240O	protein_oligo	unchanged	within_token_limit	653	653	653	1	1	A	A	none	none
T1249V1O	protein_oligo	unchanged	within_token_limit	1464	1464	1464	1	1	A,B,C	A,B,C	none	none
T1257O	protein_oligo	unchanged	within_token_limit	1263	1263	1263	1	1	A	A	none	none
T1259O	protein_oligo	unchanged	within_token_limit	243	243	243	1	1	A	A	none	none
T1270O	protein_oligo	unchanged	within_token_limit	437	437	437	1	1	A	A	none	none
T1292O	protein_oligo	unchanged	within_token_limit	380	380	380	1	1	A,B	A,B	none	none
T1294V1O	protein_oligo	unchanged	within_token_limit	428	428	428	1	1	A,B	A,B	none	none
T1295O	protein_oligo	changed	none	3752	3752	2345	1	1	A,B,C,D,E,F,G,H	A,B,C,D,E	F,G,H	oversize_prefix_budget:2560,dropped_chains:3
T1298O	protein_oligo	unchanged	within_token_limit	684	684	684	1	1	A,B	A,B	none	none
T2201O	protein_oligo	unchanged	within_token_limit	408	408	408	1	1	A,B	A,B	none	none
T2206O	protein_oligo	unchanged	within_token_limit	237	237	237	1	1	A	A	none	none
T2218O	protein_oligo	unchanged	within_token_limit	1164	1164	1164	1	1	A	A	none	none
T2234O	protein_oligo	unchanged	within_token_limit	413	413	413	1	1	A	A	none	none
T2235O	protein_oligo	unchanged	within_token_limit	115	115	115	1	1	A	A	none	none
T2237O	protein_oligo	unchanged	within_token_limit	488	488	488	1	1	A	A	none	none
T2240O	protein_oligo	unchanged	within_token_limit	653	653	653	1	1	A	A	none	none
T2249V1O	protein_oligo	unchanged	within_token_limit	1464	1464	1464	1	1	A,B,C	A,B,C	none	none
T2257O	protein_oligo	unchanged	within_token_limit	1263	1263	1263	1	1	A	A	none	none
T2259O	protein_oligo	unchanged	within_token_limit	243	243	243	1	1	A	A	none	none
T2270O	protein_oligo	unchanged	within_token_limit	437	437	437	1	1	A	A	none	none
H1213	protein_oligo	unchanged	within_token_limit	1373	1373	1373	5	5	A,B,C,D,E	A,B,C,D,E	none	none
H2213	protein_oligo	unchanged	within_token_limit	1373	1373	1373	5	5	A,B,C,D,E	A,B,C,D,E	none	none
