priority	target_id	track	blocker_class	sequence_lookup_id	source_alias	sequence_kind	length	hit_count	hits
60	H1265	protein_oligo	reference_registry_gap	H1265	H1265	proteinChain	150	0	no_hits
61	H2265	protein_oligo	reference_registry_gap	H2265	H2265	proteinChain	150	0	no_hits
62	H1245	protein_oligo	reference_registry_gap	H1245	H1245	proteinChain	183	0	no_hits
63	H0245	protein_oligo	reference_registry_gap	H0245	H0245	proteinChain	183	0	no_hits
64	H2245	protein_oligo	reference_registry_gap	H2245	H2245	proteinChain	183	0	no_hits
65	H1215	protein_oligo	reference_registry_gap	H1215	H1215	proteinChain	238	4	5LTR_1,9FEM_1,8Y6H_1,8Y6I_1
66	H0215	protein_oligo	reference_registry_gap	H0215	H0215	proteinChain	238	4	5LTR_1,9FEM_1,8Y6H_1,8Y6I_1
67	H2215	protein_oligo	reference_registry_gap	H2215	H2215	proteinChain	238	4	5LTR_1,9FEM_1,8Y6H_1,8Y6I_1
68	H0244	protein_oligo	reference_registry_gap	H0244	H0244	proteinChain	157	0	no_hits
69	H1244	protein_oligo	reference_registry_gap	H1244	H1244	proteinChain	157	0	no_hits
70	H2244	protein_oligo	reference_registry_gap	H2244	H2244	proteinChain	157	0	no_hits
71	T2270O	protein_oligo	reference_registry_gap	T2270	T2270	proteinChain	437	1	10BR_1
72	T2237O	protein_oligo	reference_registry_gap	T2237	T2237	proteinChain	488	0	no_hits
73	H1208	protein_oligo	reference_registry_gap	H1208	H1208	proteinChain	328	0	no_hits
74	H0208	protein_oligo	reference_registry_gap	H0208	H0208	proteinChain	328	0	no_hits
75	H2208	protein_oligo	reference_registry_gap	H2208	H2208	proteinChain	328	0	no_hits
76	T2240O	protein_oligo	reference_registry_gap	T2240	T2240	proteinChain	653	0	no_hits
77	H0267	protein_oligo	reference_registry_gap	H0267	H0267	proteinChain	482	3	9QBL_2,9QBQ_2,9QCC_2
78	H1267	protein_oligo	reference_registry_gap	H1267	H1267	proteinChain	482	3	9QBL_2,9QBQ_2,9QCC_2
79	H2267	protein_oligo	reference_registry_gap	H2267	H2267	proteinChain	482	3	9QBL_2,9QBQ_2,9QCC_2
80	H1230	protein_oligo	reference_registry_gap	H1230	H1230	proteinChain	788	0	no_hits
81	H0230	protein_oligo	reference_registry_gap	H0230	H0230	proteinChain	788	0	no_hits
82	H2230	protein_oligo	reference_registry_gap	H2230	H2230	proteinChain	788	0	no_hits
83	H1229	protein_oligo	reference_registry_gap	H1229	H1229	proteinChain	788	0	no_hits
84	H0229	protein_oligo	reference_registry_gap	H0229	H0229	proteinChain	788	0	no_hits
85	H2229	protein_oligo	reference_registry_gap	H2229	H2229	proteinChain	788	0	no_hits
86	T2218O	protein_oligo	reference_registry_gap	T2218	T2218	proteinChain	1164	0	no_hits
87	T2257O	protein_oligo	reference_registry_gap	T2257	T2257	proteinChain	1263	0	no_hits
88	H1217	protein_oligo	reference_registry_gap	H1217	H1217	proteinChain	721	23	6EZO_5,6K71_5,6K72_5,6O85_1,7D43_5,7D44_5,7D45_5,7D46_5,7F64_5,7F66_5,7F67_5,7KMF_4,7RLO_1,7TRJ_1,7VLK_5,9HVD_3,9HVE_3,9QC6_5,9Y3V_1,9Y4B_1,9Y4W_1,9Y3P_1,9Y3U_1
89	H0217	protein_oligo	reference_registry_gap	H0217	H0217	proteinChain	721	23	6EZO_5,6K71_5,6K72_5,6O85_1,7D43_5,7D44_5,7D45_5,7D46_5,7F64_5,7F66_5,7F67_5,7KMF_4,7RLO_1,7TRJ_1,7VLK_5,9HVD_3,9HVE_3,9QC6_5,9Y3V_1,9Y4B_1,9Y4W_1,9Y3P_1,9Y3U_1
90	H2217	protein_oligo	reference_registry_gap	H2217	H2217	proteinChain	721	23	6EZO_5,6K71_5,6K72_5,6O85_1,7D43_5,7D44_5,7D45_5,7D46_5,7F64_5,7F66_5,7F67_5,7KMF_4,7RLO_1,7TRJ_1,7VLK_5,9HVD_3,9HVE_3,9QC6_5,9Y3V_1,9Y4B_1,9Y4W_1,9Y3P_1,9Y3U_1
91	T1295O	protein_oligo	reference_registry_gap	T1295	T1295	proteinChain	469	25	1KLF_2,1QUN_2,4J3O_2,4XO9_1,4XOA_2,4XOB_1,5MTS_1,6E14_1,6E15_5,6YHW_1,9BOG_4,9FY9_5,9ME4_1,9ME5_1,9ME6_1,9ME7_1,9PTM_1,3MCY_1,3BVE_1,3BVF_1,3BVI_1,3BVK_1,3BVL_1,3EGM_1,4CSS_1
92	T1228V2	protein_domain	sequence_or_input_gap_before_reference	T1228V2			0	0	no_protein_like_sequence
93	T1294V2	protein_domain	sequence_or_input_gap_before_reference	T1294V2			0	0	no_protein_like_sequence
94	H1265_V1	protein_oligo	sequence_or_input_gap_before_reference	H1265_V1			0	0	no_protein_like_sequence
95	H1265_V2	protein_oligo	sequence_or_input_gap_before_reference	H1265_V2			0	0	no_protein_like_sequence
96	H1265_V3	protein_oligo	sequence_or_input_gap_before_reference	H1265_V3			0	0	no_protein_like_sequence
