priority	lane	track	target_family	target_ids	missing_target_count	max_server_best_score	sum_server_best_score	score_cap_gain_if_perfect	winner_weighted_gain_proxy	candidate_pdb_ids	candidate_row_count	oligo_audit_row_count	oligo_assembly_match_count	input_statuses	blockers	next_action	promotion_requirement	decision	description
12	D_domain_manual_native_search	protein_domain	domains:T1276-D1	T1276,T2276	2	0.982000	1.953700	0.028169	0.027517		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	One domain of  A0A026WM60_OOCBI in complex with 33mer ssDNA
13	D_domain_manual_native_search	protein_domain	domains:T1284-D1	T1284,T2284	2	0.907600	1.792000	0.028169	0.025239		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	gp62
14	D_domain_manual_native_search	protein_domain	domains:T1243-D1	T1243,T2243	2	0.887200	1.773500	0.028169	0.024979		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	MTMA3 (UNIPROT ID: P0CH91)
15	D_domain_manual_native_search	protein_domain	domains:T1207-D1	T1207,T2207	2	0.873000	1.729600	0.028169	0.024361		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	Q9YLS4, 2A protein part of viral polyprotein
16	D_domain_manual_native_search	protein_domain	domains:T1226-D1	T1226,T2226	2	0.725400	1.448800	0.028169	0.020406		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	TuAsV-2A3 (part of polyprotein)
17	D_domain_manual_native_search	protein_domain	domains:T1292-D1	T1292	1	1.000000	1.000000	0.014085	0.014085		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	isocyanide hydratase-like iron binding protein
18	D_domain_manual_native_search	protein_domain	domains:T1294V1-D1	T1294V1	1	0.994000	0.994000	0.014085	0.014000		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	Isocyanide hydratase
19	D_domain_manual_native_search	protein_domain	domains:T1295-D1,T1295-D2,T1295-D3	T1295	1	0.967400	0.967400	0.014085	0.013625		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	TM_Ag
20	B_oligo_assembly_mapping	protein_oligo	phase:Hx217:acp10_eif2b_complex	H0217,H1217,H2217	3	0.818000	2.412000	0.028846	0.023192	6ezo,6k71,6k72,6o85,7d43,7d44,7d45,7d46,7f64,7f66,7f67,7kmf,7rlo,7trj,7vlk,9hvd,9hve,9y3v,9y4b,9y4w	60	60	0	ok	no_reference_pdb	resolve_biological_assembly_stoichiometry_before_accepting	native_assembly_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	audit_first_not_accepted	AcP10_eIF2B_complex
21	B_oligo_assembly_mapping	protein_oligo	phase:Hx267:xausparda	H0267,H1267,H2267	3	0.819000	2.250000	0.028846	0.021635	9qbl,9qbq,9qcc	9	9	0	ok	no_reference_pdb	resolve_biological_assembly_stoichiometry_before_accepting	native_assembly_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	audit_first_not_accepted	XauSPARDA
22	C_input_or_alias_repair_first	protein_domain	domains:T1294V2-D1	T1294V2	1	0.997600	0.997600	0.014085	0.014051		0	0	0	skipped	no_sequence_record	repair_input_or_sequence_alias_before_reference	repair_sequence_or_phase_alias_before_reference_promotion	not_reference_ready	Isocyanide hydratase
23	C_input_or_alias_repair_first	protein_domain	domains:T1228V2-D1,T1228V2-D2,T1228V2-D3,T1228V2-D4	T1228V2	1	0.975900	0.975900	0.014085	0.013745		0	0	0	skipped	no_sequence_record	repair_input_or_sequence_alias_before_reference	repair_sequence_or_phase_alias_before_reference_promotion	not_reference_ready	SPbeta_int_DNA   protein subunit of M1228v2
24	C_input_or_alias_repair_first	protein_oligo	phase:Hx265_V2:	H1265_V2	1	0.562000	0.562000	0.009615	0.005404		0	0	0	skipped	no_sequence_record	repair_input_or_sequence_alias_before_reference	repair_sequence_or_phase_alias_before_reference_promotion	not_reference_ready	none
25	C_input_or_alias_repair_first	protein_oligo	phase:Hx265_V1:	H1265_V1	1	0.102000	0.102000	0.009615	0.000981		0	0	0	skipped	no_sequence_record	repair_input_or_sequence_alias_before_reference	repair_sequence_or_phase_alias_before_reference_promotion	not_reference_ready	none
26	C_input_or_alias_repair_first	protein_oligo	phase:Hx265_V3:	H1265_V3	1	0.097000	0.097000	0.009615	0.000933		0	0	0	skipped	no_sequence_record	repair_input_or_sequence_alias_before_reference	repair_sequence_or_phase_alias_before_reference_promotion	not_reference_ready	none
27	E_oligo_manual_native_search	protein_oligo	phase:Hx245:funcomplex	H0245,H1245,H2245	3	0.946000	2.832000	0.028846	0.027231		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	FUNcomplex
28	E_oligo_manual_native_search	protein_oligo	phase:Hx215:mneongreen_with_bound_nanobody	H0215,H1215,H2215	3	0.946000	2.831000	0.028846	0.027221		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	mNeonGreen with bound nanobody
29	E_oligo_manual_native_search	protein_oligo	phase:Tx257O:p13390	T0257O,T1257O,T2257O	3	0.937000	2.811000	0.028846	0.027029		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	P13390
30	E_oligo_manual_native_search	protein_oligo	phase:Hx208:dahab	H0208,H1208,H2208	3	0.905000	2.696000	0.028846	0.025923		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	dahAB
31	E_oligo_manual_native_search	protein_oligo	phase:Hx230:orf61/a3b	H0230,H1230,H2230	3	0.892000	2.662000	0.028846	0.025596		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	ORF61/A3B
32	E_oligo_manual_native_search	protein_oligo	phase:Tx237O:bd3071	T0237O,T1237O,T2237O	3	0.831000	2.477000	0.028846	0.023817		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	Bd3071
33	E_oligo_manual_native_search	protein_oligo	phase:Hx229:orf61/a3a	H0229,H1229,H2229	3	0.783000	2.305000	0.028846	0.022163		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	ORF61/A3A
34	E_oligo_manual_native_search	protein_oligo	phase:Hx244:bjcnb48	H0244,H1244,H2244	3	0.768000	2.276000	0.028846	0.021885		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	BJCNb48
35	E_oligo_manual_native_search	protein_oligo	phase:Tx218O:cry26aa	T0218O,T1218O,T2218O	3	0.714000	1.991000	0.028846	0.019144		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	Cry26Aa
36	E_oligo_manual_native_search	protein_oligo	phase:Tx270O:htra	T0270O,T1270O,T2270O	3	0.641000	1.897000	0.028846	0.018240		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	HtrA
37	E_oligo_manual_native_search	protein_oligo	phase:Tx259O:azi86_00190	T0259O,T1259O,T2259O	3	0.557000	1.662000	0.028846	0.015981		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	AZI86_00190
38	E_oligo_manual_native_search	protein_oligo	phase:Hx265:tlr4_tir_domain_(o00206)_:_mal_tir_domain_(p58753)_complex	H0265,H1265,H2265	3	0.488000	1.051000	0.028846	0.010106		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	TLR4 TIR domain (O00206) : MAL TIR domain (P58753) complex
39	E_oligo_manual_native_search	protein_oligo	phase:Tx292O:isocyanide_hydratase-like_iron_binding_protein	T1292O	1	0.977000	0.977000	0.009615	0.009394		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	isocyanide hydratase-like iron binding protein
40	E_oligo_manual_native_search	protein_oligo	phase:Tx294V1O:isocyanide_hydratase	T1294V1O	1	0.957000	0.957000	0.009615	0.009202		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	Isocyanide hydratase
41	E_oligo_manual_native_search	protein_oligo	phase:Tx295O:tm_ag	T1295O	1	0.691000	0.691000	0.009615	0.006644		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	TM_Ag
42	E_oligo_manual_native_search	protein_oligo	phase:Tx240O:bd3442	T0240O,T1240O,T2240O	3	0.155000	0.431000	0.028846	0.004144		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;biological_assembly_stoichiometry;QSglob_chain_interface_mapping;cached_mmcif_hash	search_first_not_accepted	Bd3442
