target_id	track	sequence_lookup_id	source_alias	sequence_kind	target_length	hit	pdb_id	entity_id	entry_title	release_date	experimental_method	entity_description	asym_ids	auth_asym_ids	entity_length	target_sequence_equals_entity	target_sequence_contained_in_entity	entity_sequence_contained_in_target	candidate_status	entry_error	entity_error
T1278	protein_domain	T1278	T1278	proteinChain	380	13MN_1	13MN	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12338	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MO_1	13MO	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with TD1471	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MP_1	13MP	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with TD1452	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MQ_1	13MQ	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13639	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MR_1	13MR	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13275	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MS_1	13MS	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13952	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MT_1	13MT	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr14022	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MU_1	13MU	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with FL0184	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MV_1	13MV	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12895	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MW_1	13MW	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with PDK0219	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MX_1	13MX	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13509	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MY_1	13MY	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12362	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MZ_1	13MZ	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr14473	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13NA_1	13NA	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12973	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13NB_1	13NB	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr14425	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13NC_1	13NC	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12597	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T0270	protein_domain	T0270	T0270	proteinChain	437	10BR_1	10BR	1	Crystal structure of B. burgdorferi HtrA PDZ1-2 domains	2026-06-17T00:00:00.000+00:00	X-RAY DIFFRACTION	Periplasmic serine protease DO	A,B,C,D	A,B,C,D	204	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1270	protein_domain	T1270	T1270	proteinChain	437	10BR_1	10BR	1	Crystal structure of B. burgdorferi HtrA PDZ1-2 domains	2026-06-17T00:00:00.000+00:00	X-RAY DIFFRACTION	Periplasmic serine protease DO	A,B,C,D	A,B,C,D	204	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1270O	protein_oligo	T1270	T1270	proteinChain	437	10BR_1	10BR	1	Crystal structure of B. burgdorferi HtrA PDZ1-2 domains	2026-06-17T00:00:00.000+00:00	X-RAY DIFFRACTION	Periplasmic serine protease DO	A,B,C,D	A,B,C,D	204	false	false	false	sequence_search_hit_alignment_unverified	none	none
T0270O	protein_oligo	T0270	T0270	proteinChain	437	10BR_1	10BR	1	Crystal structure of B. burgdorferi HtrA PDZ1-2 domains	2026-06-17T00:00:00.000+00:00	X-RAY DIFFRACTION	Periplasmic serine protease DO	A,B,C,D	A,B,C,D	204	false	false	false	sequence_search_hit_alignment_unverified	none	none
