track	target_id	reference_status	input_status	skip_reason	total_len	domain_count	domain_ids	oligo_state	server_best_score	candidate_rows	candidate_pdb_ids	candidate_statuses	oligo_audit_rows	oligo_assembly_matches	next_action
protein_oligo	T1292O	no_reference_pdb	ok	no_reference_pdb	392	1	T1292-D1	A2	0.977000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T1294V1O	no_reference_pdb	ok	no_reference_pdb	428	1	T1294V1-D1	A2	0.957000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1245	no_reference_pdb	ok	no_reference_pdb	317	0		A1B1	0.946000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H2245	no_reference_pdb	ok	no_reference_pdb	317	0		A1B1	0.946000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H0215	no_reference_pdb	ok	no_reference_pdb	369	0		A1B1	0.946000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1215	no_reference_pdb	ok	no_reference_pdb	369	0		A1B1	0.946000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H0245	no_reference_pdb	ok	no_reference_pdb	317	0		A1B1	0.940000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H2215	no_reference_pdb	ok	no_reference_pdb	369	0		A1B1	0.939000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T0257O	no_reference_pdb	ok	no_reference_pdb	3789	1	T1257-D1	A3	0.937000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T1257O	no_reference_pdb	ok	no_reference_pdb	3789	1	T1257-D1	A3	0.937000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T2257O	no_reference_pdb	ok	no_reference_pdb	3789	1	T1257-D1	A3	0.937000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H2208	no_reference_pdb	ok	no_reference_pdb	646	0		A1B1	0.905000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H0208	no_reference_pdb	ok	no_reference_pdb	646	0		A1B1	0.897000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1208	no_reference_pdb	ok	no_reference_pdb	646	0		A1B1	0.894000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H0230	no_reference_pdb	ok	no_reference_pdb	984	0		A1B1	0.892000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1230	no_reference_pdb	ok	no_reference_pdb	984	0		A1B1	0.885000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H2230	no_reference_pdb	ok	no_reference_pdb	984	0		A1B1	0.885000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T1237O	no_reference_pdb	ok	no_reference_pdb	1952	1	T1237-D1	A4	0.831000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T0237O	no_reference_pdb	ok	no_reference_pdb	1952	1	T1237-D1	A4	0.825000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T2237O	no_reference_pdb	ok	no_reference_pdb	1952	1	T1237-D1	A4	0.821000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H2267	no_reference_pdb	ok	no_reference_pdb	1852	0		A2B2	0.819000	3	9qbl,9qbq,9qcc	candidate	3	0	resolve_biological_assembly_stoichiometry_before_accepting
protein_oligo	H1267	no_reference_pdb	ok	no_reference_pdb	1852	0		A2B2	0.818000	3	9qbl,9qbq,9qcc	candidate	3	0	resolve_biological_assembly_stoichiometry_before_accepting
protein_oligo	H2217	no_reference_pdb	ok	no_reference_pdb	5878	0		A2B2C2D2E2F2	0.818000	20	6ezo,6k71,6k72,6o85,7d43,7d44,7d45,7d46,7f64,7f66,7f67,7kmf,7rlo,7trj,7vlk,9hvd,9hve,9y3v,9y4b,9y4w	candidate	20	0	resolve_biological_assembly_stoichiometry_before_accepting
protein_oligo	H0217	no_reference_pdb	ok	no_reference_pdb	5878	0		A2B2C2D2E2F2	0.817000	20	6ezo,6k71,6k72,6o85,7d43,7d44,7d45,7d46,7f64,7f66,7f67,7kmf,7rlo,7trj,7vlk,9hvd,9hve,9y3v,9y4b,9y4w	candidate	20	0	resolve_biological_assembly_stoichiometry_before_accepting
protein_oligo	H1229	no_reference_pdb	ok	no_reference_pdb	987	0		A1B1	0.783000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H2229	no_reference_pdb	ok	no_reference_pdb	987	0		A1B1	0.783000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1217	no_reference_pdb	ok	no_reference_pdb	5878	0		A2B2C2D2E2F2	0.777000	20	6ezo,6k71,6k72,6o85,7d43,7d44,7d45,7d46,7f64,7f66,7f67,7kmf,7rlo,7trj,7vlk,9hvd,9hve,9y3v,9y4b,9y4w	candidate	20	0	resolve_biological_assembly_stoichiometry_before_accepting
protein_oligo	H1244	no_reference_pdb	ok	no_reference_pdb	850	0		A2B2C2	0.768000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H0244	no_reference_pdb	ok	no_reference_pdb	850	0		A2B2C2	0.763000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H2244	no_reference_pdb	ok	no_reference_pdb	850	0		A2B2C2	0.745000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H0229	no_reference_pdb	ok	no_reference_pdb	987	0		A1B1	0.739000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T1218O	no_reference_pdb	ok	no_reference_pdb	2328	3	T1218-D1,T1218-D2,T1218-D3	A2	0.714000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T2218O	no_reference_pdb	ok	no_reference_pdb	2328	3	T1218-D1,T1218-D2,T1218-D3	A2	0.707000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T1295O	no_reference_pdb	ok	no_reference_pdb	3752	3	T1295-D1,T1295-D2,T1295-D3	A8	0.691000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T1270O	no_reference_pdb	ok	no_reference_pdb	2622	2	T1270-D1,T1270-D2	A6	0.641000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T2270O	no_reference_pdb	ok	no_reference_pdb	2622	2	T1270-D1,T1270-D2	A6	0.635000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T0270O	no_reference_pdb	ok	no_reference_pdb	2622	2	T1270-D1,T1270-D2	A6	0.621000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H0267	no_reference_pdb	ok	no_reference_pdb	1852	0		A2B2	0.613000	3	9qbl,9qbq,9qcc	candidate	3	0	resolve_biological_assembly_stoichiometry_before_accepting
protein_oligo	T0218O	no_reference_pdb	ok	no_reference_pdb	2328	3	T1218-D1,T1218-D2,T1218-D3	A2	0.570000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1265_V2	no_reference_pdb	skipped	no_sequence_record	0	0			0.562000	0			0	0	repair_input_or_sequence_alias_before_reference
protein_oligo	T1259O	no_reference_pdb	ok	no_reference_pdb	729	1	T1259-D1	A3	0.557000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T2259O	no_reference_pdb	ok	no_reference_pdb	729	1	T1259-D1	A3	0.557000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T0259O	no_reference_pdb	ok	no_reference_pdb	729	1	T1259-D1	A3	0.548000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1265	no_reference_pdb	ok	no_reference_pdb	3924	0		A9B18	0.488000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H2265	no_reference_pdb	ok	no_reference_pdb	3924	0		A9B18	0.465000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T1240O	no_reference_pdb	ok	no_reference_pdb	1959	2	T1240-D1,T1240-D2	A3	0.155000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T2240O	no_reference_pdb	ok	no_reference_pdb	1959	2	T1240-D1,T1240-D2	A3	0.155000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	T0240O	no_reference_pdb	ok	no_reference_pdb	1959	2	T1240-D1,T1240-D2	A3	0.121000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1265_V1	no_reference_pdb	skipped	no_sequence_record	0	0			0.102000	0			0	0	repair_input_or_sequence_alias_before_reference
protein_oligo	H0265	no_reference_pdb	ok	no_reference_pdb	3924	0		A9B18	0.098000	0			0	0	probe_or_manual_native_reference_search
protein_oligo	H1265_V3	no_reference_pdb	skipped	no_sequence_record	0	0			0.097000	0			0	0	repair_input_or_sequence_alias_before_reference
