target_id	pdb_ids	status	source	native_provenance	construct_coverage	chain_mapping	scoring_mapping	notes	source_path
T1278	9hax	candidate	rcsb_exact_sequence_probe		full_construct_exact_sequence	candidate_entity=1; asym_ids=A,B,C,D,E,F,G,H,I,J,K,L; auth_asym_ids=A,B,C,D,E,F,G,H,I,J,K,L; verify_native_chain_choice	candidate_domain=T1278-D1; residue_ranges=34-370; verify_chain_and_crop	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAX_1 | F420-dependent glucose-6-phosphate dehydrogenase | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	9hay	candidate	rcsb_exact_sequence_probe		full_construct_exact_sequence	candidate_entity=1; asym_ids=A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R; auth_asym_ids=A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R; verify_native_chain_choice	candidate_domain=T1278-D1; residue_ranges=34-370; verify_chain_and_crop	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAY_1 | F420-dependent glucose-6-phosphate dehydrogenase with glucose-6-phosphate | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	13mi	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 13MI_1 | PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12860 | 2026-02-18T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	13mj	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 13MJ_1 | PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13647 | 2026-02-18T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	13mk	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 13MK_1 | PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12961 | 2026-02-18T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	13ml	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 13ML_1 | PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13431 | 2026-02-18T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	13mm	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 13MM_1 | PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13408 | 2026-02-18T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	13mn	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 13MN_1 | PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12338 | 2026-02-18T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T0270	10br	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 10BR_1 | Crystal structure of B. burgdorferi HtrA PDZ1-2 domains | 2026-06-17T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1270	10br	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 10BR_1 | Crystal structure of B. burgdorferi HtrA PDZ1-2 domains | 2026-06-17T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1270O	10br	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 10BR_1 | Crystal structure of B. burgdorferi HtrA PDZ1-2 domains | 2026-06-17T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T0270O	10br	rejected	rcsb_exact_sequence_probe		local_sequence_hit_not_full_construct_do_not_promote			local_sequence_hit_not_full_construct_do_not_promote | 10BR_1 | Crystal structure of B. burgdorferi HtrA PDZ1-2 domains | 2026-06-17T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
