priority	benchmark	target_id	track	blocker_class	current_probe_run	current_probe_status	has_current_prediction	prediction_match_type	prediction_match_alias	input_status	reference_status	sequence_lookup_id	oligo_state	entity_count	chain_count	total_len	domain_count	domain_ids	official_metric	official_scored_rows	server_group_count	server_best_score	description	next_action
31	casp16_server_protein_v2_aliasfix	T1270O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1270	ok	no_reference_pdb	T1270	UNK	1	1	437	2	T1270-D1,T1270-D2	QSglob	338	26	0.641000	HtrA	find_native_reference_then_score_existing_prediction
32	casp16_server_protein_v2_aliasfix	T0270O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0270	ok	no_reference_pdb	T0270	UNK	1	1	437	2	T1270-D1,T1270-D2	QSglob	274	25	0.621000	HtrA	find_native_reference_then_score_existing_prediction
33	casp16_server_protein_v2_aliasfix	T1237O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1237	ok	no_reference_pdb	T1237	UNK	1	1	488	1	T1237-D1	QSglob	344	26	0.831000	Bd3071	find_native_reference_then_score_existing_prediction
34	casp16_server_protein_v2_aliasfix	T0237O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0237	ok	no_reference_pdb	T0237	UNK	1	1	488	1	T1237-D1	QSglob	257	24	0.825000	Bd3071	find_native_reference_then_score_existing_prediction
35	casp16_server_protein_v2_aliasfix	T1240O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1240	ok	no_reference_pdb	T1240	UNK	1	1	653	2	T1240-D1,T1240-D2	QSglob	348	26	0.155000	Bd3442	find_native_reference_then_score_existing_prediction
36	casp16_server_protein_v2_aliasfix	T0240O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0240	ok	no_reference_pdb	T0240	UNK	1	1	653	2	T1240-D1,T1240-D2	QSglob	260	24	0.121000	Bd3442	find_native_reference_then_score_existing_prediction
37	casp16_server_protein_v2_aliasfix	T1218O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1218	ok	no_reference_pdb	T1218	UNK	1	1	1164	3	T1218-D1,T1218-D2,T1218-D3	QSglob	337	25	0.714000	Cry26Aa	find_native_reference_then_score_existing_prediction
38	casp16_server_protein_v2_aliasfix	T0218O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0218	ok	no_reference_pdb	T0218	UNK	1	1	1164	3	T1218-D1,T1218-D2,T1218-D3	QSglob	200	18	0.570000	Cry26Aa	find_native_reference_then_score_existing_prediction
39	casp16_server_protein_v2_aliasfix	T1257O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1257	ok	no_reference_pdb	T1257	UNK	1	1	1263	1	T1257-D1	QSglob	301	25	0.937000	P13390	find_native_reference_then_score_existing_prediction
40	casp16_server_protein_v2_aliasfix	T0257O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0257	ok	no_reference_pdb	T0257	UNK	1	1	1263	1	T1257-D1	QSglob	229	21	0.937000	P13390	find_native_reference_then_score_existing_prediction
41	casp16_server_protein_v2_aliasfix	T2276	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2276	A1	1	1	40	1	T1276-D1	GDT_TS	277	24	0.971700	One domain of  A0A026WM60_OOCBI in complex with 33mer ssDNA	find_native_reference_plus_chain_map_for_gdt_ts
42	casp16_server_protein_v2_aliasfix	T2284	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2284	A1	1	1	120	1	T1284-D1	GDT_TS	261	23	0.907600	gp62	find_native_reference_plus_chain_map_for_gdt_ts
43	casp16_server_protein_v2_aliasfix	T2226	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2226	A1	1	1	123	1	T1226-D1	GDT_TS	270	24	0.725400	TuAsV-2A3 (part of polyprotein)	find_native_reference_plus_chain_map_for_gdt_ts
44	casp16_server_protein_v2_aliasfix	T2231	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2231	A1	1	1	142	1	T1231-D1	GDT_TS	290	25	0.982400	A0A0E4G3H6	find_native_reference_plus_chain_map_for_gdt_ts
45	casp16_server_protein_v2_aliasfix	T2207	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2207	A1	1	1	144	1	T1207-D1	GDT_TS	284	26	0.873000	Q9YLS4, 2A protein part of viral polyprotein	find_native_reference_plus_chain_map_for_gdt_ts
46	casp16_server_protein_v2_aliasfix	T2274	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2274	A1	1	1	167	1	T1274-D1	GDT_TS	276	25	0.997200	CAB14884.3	find_native_reference_plus_chain_map_for_gdt_ts
47	casp16_server_protein_v2_aliasfix	T2246	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2246	UNK	1	1	168	1	T1246-D1	GDT_TS	284	25	0.965800	DcmC	find_native_reference_plus_chain_map_for_gdt_ts
48	casp16_server_protein_v2_aliasfix	T2259	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2259	UNK	1	1	243	1	T1259-D1	GDT_TS	323	23	0.979200	AZI86_00190	find_native_reference_plus_chain_map_for_gdt_ts
49	casp16_server_protein_v2_aliasfix	T2243	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2243	A1	1	1	293	1	T1243-D1	GDT_TS	285	25	0.886300	MTMA3 (UNIPROT ID: P0CH91)	find_native_reference_plus_chain_map_for_gdt_ts
50	casp16_server_protein_v2_aliasfix	T2278	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2278	A1	1	1	380	1	T1278-D1	GDT_TS	265	22	0.995600	Dehydrogenase	find_native_reference_plus_chain_map_for_gdt_ts
51	casp16_server_protein_v2_aliasfix	T2279	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2279	An	1	1	428	2	T1279-D1,T1279-D2	GDT_TS	490	20	0.991700	Bd1369	find_native_reference_plus_domain_residue_crop_map
52	casp16_server_protein_v2_aliasfix	T2270	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2270	UNK	1	1	437	2	T1270-D1,T1270-D2	GDT_TS	668	24	0.960700	HtrA	find_native_reference_plus_domain_residue_crop_map
53	casp16_server_protein_v2_aliasfix	T2237	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2237	UNK	1	1	488	1	T1237-D1	GDT_TS	340	25	0.932000	Bd3071	find_native_reference_plus_chain_map_for_gdt_ts
54	casp16_server_protein_v2_aliasfix	T2240	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2240	UNK	1	1	653	2	T1240-D1,T1240-D2	GDT_TS	686	25	0.997600	Bd3442	find_native_reference_plus_domain_residue_crop_map
55	casp16_server_protein_v2_aliasfix	T2218	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2218	UNK	1	1	1164	3	T1218-D1,T1218-D2,T1218-D3	GDT_TS	1011	26	0.960800	Cry26Aa	find_native_reference_plus_domain_residue_crop_map
56	casp16_server_protein_v2_aliasfix	T2257	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2257	UNK	1	1	1263	1	T1257-D1	GDT_TS	304	22	0.893900	P13390	find_native_reference_plus_chain_map_for_gdt_ts
57	casp16_server_protein_v2_aliasfix	T1295	protein_domain	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T1295	A8	1	8	3752	3	T1295-D1,T1295-D2,T1295-D3	GDT_TS	861	27	0.967400	TM_Ag	find_native_reference_plus_domain_residue_crop_map
58	casp16_server_protein_v2_aliasfix	T2259O	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2259	UNK	1	1	243	1	T1259-D1	QSglob	277	19	0.557000	AZI86_00190	find_native_complex_assembly_and_chain_map_for_qsglob
59	casp16_server_protein_v2_aliasfix	H0265	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0265	UNK	2	2	293	0		QSglob	307	27	0.098000	TLR4 TIR domain (O00206) : MAL TIR domain (P58753) complex	find_native_complex_assembly_and_chain_map_for_qsglob
60	casp16_server_protein_v2_aliasfix	H1265	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1265	UNK	2	2	293	0		QSglob	299	26	0.488000	TLR4 TIR domain (O00206) : MAL TIR domain (P58753) complex	find_native_complex_assembly_and_chain_map_for_qsglob
61	casp16_server_protein_v2_aliasfix	H2265	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2265	UNK	2	2	293	0		QSglob	233	17	0.465000	TLR4 TIR domain (O00206) : MAL TIR domain (P58753) complex	find_native_complex_assembly_and_chain_map_for_qsglob
62	casp16_server_protein_v2_aliasfix	H1245	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1245	UNK	2	2	317	0		QSglob	372	29	0.946000	FUNcomplex	find_native_complex_assembly_and_chain_map_for_qsglob
63	casp16_server_protein_v2_aliasfix	H0245	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0245	UNK	2	2	317	0		QSglob	309	27	0.940000	FUNcomplex	find_native_complex_assembly_and_chain_map_for_qsglob
64	casp16_server_protein_v2_aliasfix	H2245	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2245	UNK	2	2	317	0		QSglob	303	20	0.946000	FUNcomplex	find_native_complex_assembly_and_chain_map_for_qsglob
65	casp16_server_protein_v2_aliasfix	H1215	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1215	UNK	2	2	369	0		QSglob	374	30	0.946000	mNeonGreen with bound nanobody	find_native_complex_assembly_and_chain_map_for_qsglob
66	casp16_server_protein_v2_aliasfix	H0215	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0215	UNK	2	2	369	0		QSglob	313	27	0.946000	mNeonGreen with bound nanobody	find_native_complex_assembly_and_chain_map_for_qsglob
67	casp16_server_protein_v2_aliasfix	H2215	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2215	UNK	2	2	369	0		QSglob	320	23	0.939000	mNeonGreen with bound nanobody	find_native_complex_assembly_and_chain_map_for_qsglob
68	casp16_server_protein_v2_aliasfix	H0244	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0244	UNK	3	3	425	0		QSglob	287	26	0.763000	BJCNb48	find_native_complex_assembly_and_chain_map_for_qsglob
69	casp16_server_protein_v2_aliasfix	H1244	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1244	UNK	3	3	425	0		QSglob	360	26	0.768000	BJCNb48	find_native_complex_assembly_and_chain_map_for_qsglob
70	casp16_server_protein_v2_aliasfix	H2244	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2244	UNK	3	3	425	0		QSglob	298	20	0.745000	BJCNb48	find_native_complex_assembly_and_chain_map_for_qsglob
71	casp16_server_protein_v2_aliasfix	T2270O	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2270	UNK	1	1	437	2	T1270-D1,T1270-D2	QSglob	284	20	0.635000	HtrA	find_native_complex_assembly_and_chain_map_for_qsglob
72	casp16_server_protein_v2_aliasfix	T2237O	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2237	UNK	1	1	488	1	T1237-D1	QSglob	299	21	0.821000	Bd3071	find_native_complex_assembly_and_chain_map_for_qsglob
73	casp16_server_protein_v2_aliasfix	H1208	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1208	UNK	2	2	646	0		QSglob	370	28	0.894000	dahAB	find_native_complex_assembly_and_chain_map_for_qsglob
74	casp16_server_protein_v2_aliasfix	H0208	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0208	UNK	2	2	646	0		QSglob	315	27	0.897000	dahAB	find_native_complex_assembly_and_chain_map_for_qsglob
75	casp16_server_protein_v2_aliasfix	H2208	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2208	UNK	2	2	646	0		QSglob	311	23	0.905000	dahAB	find_native_complex_assembly_and_chain_map_for_qsglob
76	casp16_server_protein_v2_aliasfix	T2240O	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2240	UNK	1	1	653	2	T1240-D1,T1240-D2	QSglob	298	21	0.155000	Bd3442	find_native_complex_assembly_and_chain_map_for_qsglob
77	casp16_server_protein_v2_aliasfix	H0267	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0267	UNK	2	2	926	0		QSglob	294	27	0.613000	XauSPARDA	find_native_complex_assembly_and_chain_map_for_qsglob
