target_id	track	status	skip_reason	benchmark_oligo_state	official_oligo_state	original_counts	optimized_counts	original_chain_ids	optimized_chain_ids	original_total_len	optimized_total_len	rules
H0220	protein_oligo	unchanged	requires_protein_only_job	UNK	UNK	none	none	none	none	0	0	none
H0222	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	485	485	none
H0223	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	486	486	none
H0225	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	483	483	none
H0227	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	1304	1304	none
H0229	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	987	987	none
H0230	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	984	984	none
H0232	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	462	462	none
H0233	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	658	658	none
H0236	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	528	528	none
H0244	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1	1,1,1	A,B,C	A,B,C	425	425	none
H0245	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	317	317	none
H0258	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1	1	A	A	2535	2535	none
H0265	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	293	293	none
H0267	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	926	926	none
H0272	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1,1,1,1,1	1,1,1,1,1,1,1	B,C,D,E,F,G,I	B,C,D,E,F,G,I	2365	2365	none
H1202	protein_oligo	unchanged	already_matches_official_oligo_state	A2B2	A2B2	2,2	2,2	A,B,C,D	A,B,C,D	380	380	none
H1204	protein_oligo	unchanged	already_matches_official_oligo_state	A2B2C2	A2B2C2	2,2,2	2,2,2	A,B,C,D,E,F	A,B,C,D,E,F	846	846	none
H1208	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	646	646	none
H1215	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	369	369	none
H1217	protein_oligo	unchanged	ambiguous_official_oligo_state	UNK	A2B2C2D2E2F2	1,1,1,1,1	1,1,1,1,1	A,B,C,D,E	A,B,C,D,E	2352	2352	none
H1220	protein_oligo	unchanged	requires_protein_only_job	UNK	A1B4	none	none	none	none	0	0	none
H1222	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1C1	1,1,1	1,1,1	A,B,C	A,B,C	485	485	none
H1223	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1C1	1,1,1	1,1,1	A,B,C	A,B,C	486	486	none
H1225	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1C1	1,1,1	1,1,1	A,B,C	A,B,C	483	483	none
H1227	protein_oligo	unchanged	oversize_after_recovery	UNK	A1B6	1,1	1,1	A,B	A,B	1304	1304	would_recover_official_oligo_state,benchmark_state_was_unknown,skip_oversize_after_recovery:2560
H1229	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	987	987	none
H1230	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	984	984	none
H1232	protein_oligo	changed	none	UNK	A2B2	1,1	2,2	A,B	A,B,C,D	462	924	recover_official_oligo_state,benchmark_state_was_unknown
H1233	protein_oligo	changed	none	UNK	A2B2C2	1,1,1	2,2,2	A,B,C	A,B,C,D,E,F	658	1316	recover_official_oligo_state,benchmark_state_was_unknown
H1236	protein_oligo	changed	none	UNK	A3B6	1,1	3,6	A,B	A,B,C,D,E,F,G,H,I	528	1929	recover_official_oligo_state,benchmark_state_was_unknown
H1244	protein_oligo	changed	none	UNK	A2B2C2	1,1,1	2,2,2	A,B,C	A,B,C,D,E,F	425	850	recover_official_oligo_state,benchmark_state_was_unknown
H1245	protein_oligo	unchanged	already_matches_official_oligo_state	UNK	A1B1	1,1	1,1	A,B	A,B	317	317	none
H1258	protein_oligo	unchanged	ambiguous_official_oligo_state	UNK	A1B2	1	1	A	A	2535	2535	none
H1265	protein_oligo	unchanged	oversize_after_recovery	UNK	A9B18	1,1	1,1	A,B	A,B	293	293	would_recover_official_oligo_state,benchmark_state_was_unknown,skip_oversize_after_recovery:2560
H1267	protein_oligo	changed	none	UNK	A2B2	1,1	2,2	A,B	A,B,C,D	926	1852	recover_official_oligo_state,benchmark_state_was_unknown
H1272	protein_oligo	unchanged	ambiguous_official_oligo_state	UNK	A1B1C1D1E1F1G1H1I1	1,1,1,1,1,1,1	1,1,1,1,1,1,1	B,C,D,E,F,G,I	B,C,D,E,F,G,I	2365	2365	none
T0206O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	237	237	none
T0218O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	1164	1164	none
T0234O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	413	413	none
T0235O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	115	115	none
T0237O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	488	488	none
T0240O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	653	653	none
T0257O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	1263	1263	none
T0259O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	243	243	none
T0270O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	437	437	none
T1201O	protein_oligo	unchanged	official_oligo_state_unavailable	A2	none	2	2	A,B	A,B	408	408	none
T1206O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	237	237	none
T1218O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	1164	1164	none
T1234O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	413	413	none
T1235O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	115	115	none
T1237O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	488	488	none
T1240O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	653	653	none
T1249V1O	protein_oligo	unchanged	official_oligo_state_unavailable	A3	none	3	3	A,B,C	A,B,C	1464	1464	none
T1257O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	1263	1263	none
T1259O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	243	243	none
T1270O	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	none	1	1	A	A	437	437	none
T1292O	protein_oligo	unchanged	official_oligo_state_unavailable	A2	none	2	2	A,B	A,B	380	380	none
T1294V1O	protein_oligo	unchanged	official_oligo_state_unavailable	A2	none	2	2	A,B	A,B	428	428	none
T1295O	protein_oligo	unchanged	official_oligo_state_unavailable	A8	none	5	5	A,B,C,D,E	A,B,C,D,E	2345	2345	none
T1298O	protein_oligo	unchanged	official_oligo_state_unavailable	A2	none	2	2	A,B	A,B	684	684	none
T1212	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	466	466	none
T1228V2	protein_domain	unchanged	not_protein_oligo	A1	none	1	1	A	A	545	545	none
T1239V2	protein_domain	unchanged	not_protein_oligo	A1	none	1	1	A	A	620	620	none
T1294V2	protein_domain	unchanged	not_protein_oligo	A2	none	2	2	A,B	A,B	428	428	none
T2201	protein_domain	unchanged	not_protein_oligo	A2	A2	2	2	A,B	A,B	420	420	none
T2206	protein_domain	unchanged	not_protein_oligo	A2	A2	2	2	A,B	A,B	474	474	none
T2207	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	144	144	none
T2210	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	1770	1770	none
T2218	protein_domain	unchanged	not_protein_oligo	A2	A2	2	2	A,B	A,B	2328	2328	none
T2226	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	123	123	none
T2231	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	142	142	none
T2234	protein_domain	unchanged	not_protein_oligo	A3	A3	3	3	A,B,C	A,B,C	1239	1239	none
T2235	protein_domain	unchanged	not_protein_oligo	A6	A6	6	6	A,B,C,D,E,F	A,B,C,D,E,F	690	690	none
T2237	protein_domain	unchanged	not_protein_oligo	A4	A4	4	4	A,B,C,D	A,B,C,D	1952	1952	none
T2240	protein_domain	unchanged	not_protein_oligo	A3	A3	3	3	A,B,C	A,B,C	1959	1959	none
T2243	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	293	293	none
T2246	protein_domain	unchanged	not_protein_oligo	none	none	1	1	A	A	168	168	none
T2249V1	protein_domain	unchanged	not_protein_oligo	A3	none	3	3	A,B,C	A,B,C	1464	1464	none
T2257	protein_domain	unchanged	not_protein_oligo	A3	A3	2	2	A,B	A,B	2526	2526	none
T2259	protein_domain	unchanged	not_protein_oligo	A3	A3	3	3	A,B,C	A,B,C	729	729	none
T2266	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	336	336	none
T2269	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	1410	1410	none
T2270	protein_domain	unchanged	not_protein_oligo	A6	A6	5	5	A,B,C,D,E	A,B,C,D,E	2185	2185	none
T2274	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	167	167	none
T2276	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	196	196	none
T2278	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	380	380	none
T2279	protein_domain	unchanged	not_protein_oligo	An	An	1	1	A	A	428	428	none
T2280	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	237	237	none
T2284	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	120	120	none
