job_name	status	kept_for_targets	skipped_target_refs	rules
H2258	kept	H0258,H1258,H2258		has_available_reference,priority:exact_oligo_size_first
T0206	kept	T0206,T0206O,T1206,T1206O,T2206,T2206O		has_available_reference,priority:original_order_after_exact_oligo_targets
T0234	kept	T0234,T0234O,T1234,T1234O,T2234,T2234O		has_available_reference,priority:original_order_after_exact_oligo_targets
T0235	kept	T0235,T0235O,T1235,T1235O,T2235,T2235O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1201	kept	T1201,T1201O,T2201,T2201O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1206	kept	T0206,T0206O,T1206,T1206O,T2206,T2206O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1210	kept	T1210,T2210		has_available_reference,priority:original_order_after_exact_oligo_targets
T1234	kept	T0234,T0234O,T1234,T1234O,T2234,T2234O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1235	kept	T0235,T0235O,T1235,T1235O,T2235,T2235O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1239V1	kept	T1239V1		has_available_reference,priority:original_order_after_exact_oligo_targets
T1249V1	kept	T1249V1,T1249V1O,T2249V1,T2249V1O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1266	kept	T1266,T2266		has_available_reference,priority:original_order_after_exact_oligo_targets
T1269	kept	T1269,T2269		has_available_reference,priority:original_order_after_exact_oligo_targets
T1280	kept	T1280,T2280		has_available_reference,priority:original_order_after_exact_oligo_targets
T1298	kept	T1298,T1298O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1299	kept	T1299		has_available_reference,priority:original_order_after_exact_oligo_targets
T2201	kept	T1201,T1201O,T2201,T2201O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2206	kept	T0206,T0206O,T1206,T1206O,T2206,T2206O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2210	kept	T1210,T2210		has_available_reference,priority:original_order_after_exact_oligo_targets
T2234	kept	T0234,T0234O,T1234,T1234O,T2234,T2234O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2235	kept	T0235,T0235O,T1235,T1235O,T2235,T2235O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2249V1	kept	T1249V1,T1249V1O,T2249V1,T2249V1O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2266	kept	T1266,T2266		has_available_reference,priority:original_order_after_exact_oligo_targets
T2269	kept	T1269,T2269		has_available_reference,priority:original_order_after_exact_oligo_targets
T2280	kept	T1280,T2280		has_available_reference,priority:original_order_after_exact_oligo_targets
