shard_run_id	status	input_json	output_dir	task_count	complete_task_count	incomplete_task_count	expected_candidate_count	observed_candidate_count	missing_candidate_count	missing_tasks
server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105	pending	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_03.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105/predictions/protenix-v2	13	0	13	5	0	65	T1235O:0/5,T2201O:0/5,T1234O:0/5,H1222:0/5,H2204:0/5,H2233:0/5,T1249V1O:0/5,H2236:0/5,H2258:0/5,T1269:0/5,T1280:0/5,T2235:0/5,T2266:0/5
server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed106_110	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_03.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed106_110/predictions/protenix-v2	13	0	13	5	0	65	T1235O:0/5,T2201O:0/5,T1234O:0/5,H1222:0/5,H2204:0/5,H2233:0/5,T1249V1O:0/5,H2236:0/5,H2258:0/5,T1269:0/5,T1280:0/5,T2235:0/5,T2266:0/5
server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed111_115	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed111_115/inputs/scoreable_size_balanced_03.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed111_115/predictions/protenix-v2	13	0	13	5	0	65	T1235O:0/5,T2201O:0/5,T1234O:0/5,H1222:0/5,H2204:0/5,H2233:0/5,T1249V1O:0/5,H2236:0/5,H2258:0/5,T1269:0/5,T1280:0/5,T2235:0/5,T2266:0/5
server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed116_120	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed116_120/inputs/scoreable_size_balanced_03.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed116_120/predictions/protenix-v2	13	0	13	5	0	65	T1235O:0/5,T2201O:0/5,T1234O:0/5,H1222:0/5,H2204:0/5,H2233:0/5,T1249V1O:0/5,H2236:0/5,H2258:0/5,T1269:0/5,T1280:0/5,T2235:0/5,T2266:0/5
server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed121_125	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed121_125/inputs/scoreable_size_balanced_03.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed121_125/predictions/protenix-v2	13	0	13	5	0	65	T1235O:0/5,T2201O:0/5,T1234O:0/5,H1222:0/5,H2204:0/5,H2233:0/5,T1249V1O:0/5,H2236:0/5,H2258:0/5,T1269:0/5,T1280:0/5,T2235:0/5,T2266:0/5
server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix5_seed101_105	pending	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_04.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix5_seed101_105/predictions/protenix-v2	12	0	12	5	0	60	H2202:0/5,T1201O:0/5,T0234O:0/5,H0222:0/5,H0232:0/5,H2232:0/5,H2213:0/5,T2249V1O:0/5,H0272:0/5,H0220:0/5,T0235:0/5,T2280:0/5
server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed106_110	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_04.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed106_110/predictions/protenix-v2	12	0	12	5	0	60	H2202:0/5,T1201O:0/5,T0234O:0/5,H0222:0/5,H0232:0/5,H2232:0/5,H2213:0/5,T2249V1O:0/5,H0272:0/5,H0220:0/5,T0235:0/5,T2280:0/5
server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed111_115	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed111_115/inputs/scoreable_size_balanced_04.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed111_115/predictions/protenix-v2	12	0	12	5	0	60	H2202:0/5,T1201O:0/5,T0234O:0/5,H0222:0/5,H0232:0/5,H2232:0/5,H2213:0/5,T2249V1O:0/5,H0272:0/5,H0220:0/5,T0235:0/5,T2280:0/5
server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed116_120	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed116_120/inputs/scoreable_size_balanced_04.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed116_120/predictions/protenix-v2	12	0	12	5	0	60	H2202:0/5,T1201O:0/5,T0234O:0/5,H0222:0/5,H0232:0/5,H2232:0/5,H2213:0/5,T2249V1O:0/5,H0272:0/5,H0220:0/5,T0235:0/5,T2280:0/5
server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed121_125	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed121_125/inputs/scoreable_size_balanced_04.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed121_125/predictions/protenix-v2	12	0	12	5	0	60	H2202:0/5,T1201O:0/5,T0234O:0/5,H0222:0/5,H0232:0/5,H2232:0/5,H2213:0/5,T2249V1O:0/5,H0272:0/5,H0220:0/5,T0235:0/5,T2280:0/5
server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix5_seed101_105	pending	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_05.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix5_seed101_105/predictions/protenix-v2	12	0	12	5	0	60	T1206O:0/5,H2222:0/5,T1298O:0/5,H0227:0/5,H0233:0/5,H1272:0/5,H1220:0/5,T0206:0/5,T0234:0/5,T1239V1:0/5,T1249V1:0/5,T2201:0/5
server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed106_110	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_05.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed106_110/predictions/protenix-v2	12	0	12	5	0	60	T1206O:0/5,H2222:0/5,T1298O:0/5,H0227:0/5,H0233:0/5,H1272:0/5,H1220:0/5,T0206:0/5,T0234:0/5,T1239V1:0/5,T1249V1:0/5,T2201:0/5
server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed111_115	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed111_115/inputs/scoreable_size_balanced_05.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed111_115/predictions/protenix-v2	12	0	12	5	0	60	T1206O:0/5,H2222:0/5,T1298O:0/5,H0227:0/5,H0233:0/5,H1272:0/5,H1220:0/5,T0206:0/5,T0234:0/5,T1239V1:0/5,T1249V1:0/5,T2201:0/5
server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed116_120	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed116_120/inputs/scoreable_size_balanced_05.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed116_120/predictions/protenix-v2	12	0	12	5	0	60	T1206O:0/5,H2222:0/5,T1298O:0/5,H0227:0/5,H0233:0/5,H1272:0/5,H1220:0/5,T0206:0/5,T0234:0/5,T1239V1:0/5,T1249V1:0/5,T2201:0/5
server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed121_125	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed121_125/inputs/scoreable_size_balanced_05.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed121_125/predictions/protenix-v2	12	0	12	5	0	60	T1206O:0/5,H2222:0/5,T1298O:0/5,H0227:0/5,H0233:0/5,H1272:0/5,H1220:0/5,T0206:0/5,T0234:0/5,T1239V1:0/5,T1249V1:0/5,T2201:0/5
server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix5_seed101_105	pending	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_06.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix5_seed101_105/predictions/protenix-v2	12	0	12	5	0	60	T0206O:0/5,T2206O:0/5,T2234O:0/5,H0225:0/5,H1227:0/5,H1233:0/5,H2272:0/5,H2220:0/5,T1201:0/5,T1298:0/5,T1299:0/5,T2249V1:0/5
server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed106_110	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_06.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed106_110/predictions/protenix-v2	12	0	12	5	0	60	T0206O:0/5,T2206O:0/5,T2234O:0/5,H0225:0/5,H1227:0/5,H1233:0/5,H2272:0/5,H2220:0/5,T1201:0/5,T1298:0/5,T1299:0/5,T2249V1:0/5
server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed111_115	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed111_115/inputs/scoreable_size_balanced_06.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed111_115/predictions/protenix-v2	12	0	12	5	0	60	T0206O:0/5,T2206O:0/5,T2234O:0/5,H0225:0/5,H1227:0/5,H1233:0/5,H2272:0/5,H2220:0/5,T1201:0/5,T1298:0/5,T1299:0/5,T2249V1:0/5
server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed116_120	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed116_120/inputs/scoreable_size_balanced_06.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed116_120/predictions/protenix-v2	12	0	12	5	0	60	T0206O:0/5,T2206O:0/5,T2234O:0/5,H0225:0/5,H1227:0/5,H1233:0/5,H2272:0/5,H2220:0/5,T1201:0/5,T1298:0/5,T1299:0/5,T2249V1:0/5
server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed121_125	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed121_125/inputs/scoreable_size_balanced_06.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed121_125/predictions/protenix-v2	12	0	12	5	0	60	T0206O:0/5,T2206O:0/5,T2234O:0/5,H0225:0/5,H1227:0/5,H1233:0/5,H2272:0/5,H2220:0/5,T1201:0/5,T1298:0/5,T1299:0/5,T2249V1:0/5
