phase	target_id	track	status	skip_reason	source_target_id	source_record_ids	original_entity_count	optimized_entity_count	original_total_len	optimized_total_len	dropped_chain_ids	rules
oligo_stoich_token_safe	T1270	protein_domain	unchanged	not_protein_oligo	none	none			2622	2622	none	none
oligo_stoich_token_safe	T1274	protein_domain	unchanged	not_protein_oligo	none	none			167	167	none	none
oligo_stoich_token_safe	T1276	protein_domain	unchanged	not_protein_oligo	none	none			0	0	none	none
oligo_stoich_token_safe	T1278	protein_domain	unchanged	not_protein_oligo	none	none			380	380	none	none
oligo_stoich_token_safe	T1279	protein_domain	unchanged	not_protein_oligo	none	none			428	428	none	none
oligo_stoich_token_safe	T1280	protein_domain	unchanged	not_protein_oligo	none	none			237	237	none	none
oligo_stoich_token_safe	T1284	protein_domain	unchanged	not_protein_oligo	none	none			120	120	none	none
oligo_stoich_token_safe	T1292	protein_domain	unchanged	not_protein_oligo	none	none			392	392	none	none
oligo_stoich_token_safe	T1294V1	protein_domain	unchanged	not_protein_oligo	none	none			428	428	none	none
oligo_stoich_token_safe	T1295	protein_domain	unchanged	not_protein_oligo	none	none			3752	3752	none	none
oligo_stoich_token_safe	T1298	protein_domain	unchanged	not_protein_oligo	none	none			684	684	none	none
oligo_stoich_token_safe	T1299	protein_domain	unchanged	not_protein_oligo	none	none			168	168	none	none
oligo_stoich_token_safe	T2201	protein_domain	unchanged	not_protein_oligo	none	none			420	420	none	none
oligo_stoich_token_safe	T2206	protein_domain	unchanged	not_protein_oligo	none	none			474	474	none	none
oligo_stoich_token_safe	T2207	protein_domain	unchanged	not_protein_oligo	none	none			144	144	none	none
oligo_stoich_token_safe	T2210	protein_domain	unchanged	not_protein_oligo	none	none			1770	1770	none	none
oligo_stoich_token_safe	T2218	protein_domain	unchanged	not_protein_oligo	none	none			2328	2328	none	none
oligo_stoich_token_safe	T2226	protein_domain	unchanged	not_protein_oligo	none	none			123	123	none	none
oligo_stoich_token_safe	T2231	protein_domain	unchanged	not_protein_oligo	none	none			142	142	none	none
oligo_stoich_token_safe	T2234	protein_domain	unchanged	not_protein_oligo	none	none			1239	1239	none	none
oligo_stoich_token_safe	T2235	protein_domain	unchanged	not_protein_oligo	none	none			690	690	none	none
oligo_stoich_token_safe	T2237	protein_domain	unchanged	not_protein_oligo	none	none			1952	1952	none	none
oligo_stoich_token_safe	T2240	protein_domain	unchanged	not_protein_oligo	none	none			1959	1959	none	none
oligo_stoich_token_safe	T2243	protein_domain	unchanged	not_protein_oligo	none	none			293	293	none	none
oligo_stoich_token_safe	T2246	protein_domain	unchanged	not_protein_oligo	none	none			168	168	none	none
oligo_stoich_token_safe	T2249V1	protein_domain	unchanged	not_protein_oligo	none	none			1464	1464	none	none
oligo_stoich_token_safe	T2257	protein_domain	unchanged	not_protein_oligo	none	none			3789	3789	none	none
oligo_stoich_token_safe	T2259	protein_domain	unchanged	not_protein_oligo	none	none			729	729	none	none
oligo_stoich_token_safe	T2266	protein_domain	unchanged	not_protein_oligo	none	none			336	336	none	none
oligo_stoich_token_safe	T2269	protein_domain	unchanged	not_protein_oligo	none	none			1410	1410	none	none
oligo_stoich_token_safe	T2270	protein_domain	unchanged	not_protein_oligo	none	none			2622	2622	none	none
oligo_stoich_token_safe	T2274	protein_domain	unchanged	not_protein_oligo	none	none			167	167	none	none
oligo_stoich_token_safe	T2276	protein_domain	unchanged	not_protein_oligo	none	none			0	0	none	none
oligo_stoich_token_safe	T2278	protein_domain	unchanged	not_protein_oligo	none	none			380	380	none	none
oligo_stoich_token_safe	T2279	protein_domain	unchanged	not_protein_oligo	none	none			428	428	none	none
oligo_stoich_token_safe	T2280	protein_domain	unchanged	not_protein_oligo	none	none			237	237	none	none
oligo_stoich_token_safe	T2284	protein_domain	unchanged	not_protein_oligo	none	none			120	120	none	none
oligo_stoich_token_safe	H0208	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			646	646	none	none
oligo_stoich_token_safe	H0215	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			369	369	none	none
oligo_stoich_token_safe	H0217	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			5878	5878	none	none
oligo_stoich_token_safe	H0220	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			2515	2515	none	none
oligo_stoich_token_safe	H0222	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			485	485	none	none
oligo_stoich_token_safe	H0223	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			486	486	none	none
oligo_stoich_token_safe	H0225	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			483	483	none	none
oligo_stoich_token_safe	H0227	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			5689	5689	none	none
oligo_stoich_token_safe	H0229	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			987	987	none	none
oligo_stoich_token_safe	H0230	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			984	984	none	none
oligo_stoich_token_safe	H0232	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			924	924	none	none
oligo_stoich_token_safe	H0233	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1316	1316	none	none
oligo_stoich_token_safe	H0236	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1929	1929	none	none
oligo_stoich_token_safe	H0244	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			850	850	none	none
oligo_stoich_token_safe	H0245	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			317	317	none	none
oligo_stoich_token_safe	H0258	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			3092	3092	none	none
oligo_stoich_token_safe	H0265	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			3924	3924	none	none
oligo_stoich_token_safe	H0267	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1852	1852	none	none
oligo_stoich_token_safe	H0272	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			6879	6879	none	none
oligo_stoich_token_safe	H1202	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			380	380	none	none
oligo_stoich_token_safe	H1204	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			858	858	none	none
oligo_stoich_token_safe	H1208	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			646	646	none	none
oligo_stoich_token_safe	H1213	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1373	1373	none	none
oligo_stoich_token_safe	H1215	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			369	369	none	none
oligo_stoich_token_safe	H1217	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			5878	5878	none	none
oligo_stoich_token_safe	H1220	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			2515	2515	none	none
oligo_stoich_token_safe	H1222	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			485	485	none	none
oligo_stoich_token_safe	H1223	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			486	486	none	none
oligo_stoich_token_safe	H1225	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			483	483	none	none
oligo_stoich_token_safe	H1227	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			5689	5689	none	none
oligo_stoich_token_safe	H1229	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			987	987	none	none
oligo_stoich_token_safe	H1230	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			984	984	none	none
oligo_stoich_token_safe	H1232	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			924	924	none	none
oligo_stoich_token_safe	H1233	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1316	1316	none	none
oligo_stoich_token_safe	H1236	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1929	1929	none	none
oligo_stoich_token_safe	H1244	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			850	850	none	none
oligo_stoich_token_safe	H1245	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			317	317	none	none
oligo_stoich_token_safe	H1258	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			3092	3092	none	none
oligo_stoich_token_safe	H1265	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			3924	3924	none	none
oligo_stoich_token_safe	H1267	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1852	1852	none	none
oligo_stoich_token_safe	H1272	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			6879	6879	none	none
oligo_stoich_token_safe	H2202	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			380	380	none	none
oligo_stoich_token_safe	H2204	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			858	858	none	none
oligo_stoich_token_safe	H2208	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			646	646	none	none
oligo_stoich_token_safe	H2213	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1373	1373	none	none
oligo_stoich_token_safe	H2215	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			369	369	none	none
oligo_stoich_token_safe	H2217	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			5878	5878	none	none
oligo_stoich_token_safe	H2220	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			2515	2515	none	none
oligo_stoich_token_safe	H2222	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			485	485	none	none
oligo_stoich_token_safe	H2223	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			486	486	none	none
oligo_stoich_token_safe	H2225	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			483	483	none	none
oligo_stoich_token_safe	H2227	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			5689	5689	none	none
oligo_stoich_token_safe	H2229	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			987	987	none	none
oligo_stoich_token_safe	H2230	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			984	984	none	none
oligo_stoich_token_safe	H2232	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			924	924	none	none
oligo_stoich_token_safe	H2233	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1316	1316	none	none
oligo_stoich_token_safe	H2236	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1929	1929	none	none
oligo_stoich_token_safe	H2244	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			850	850	none	none
oligo_stoich_token_safe	H2245	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			317	317	none	none
oligo_stoich_token_safe	H2258	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			3092	3092	none	none
oligo_stoich_token_safe	H2265	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			3924	3924	none	none
oligo_stoich_token_safe	H2267	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			1852	1852	none	none
oligo_stoich_token_safe	H2272	protein_oligo	unchanged	already_matches_official_oligo_state	none	none			6879	6879	none	none
oligo_stoich_token_safe	T0206O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			474	474	none	none
oligo_stoich_token_safe	T0218O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			2328	2328	none	none
oligo_stoich_token_safe	T0234O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1239	1239	none	none
oligo_stoich_token_safe	T0235O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			690	690	none	none
oligo_stoich_token_safe	T0237O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1952	1952	none	none
oligo_stoich_token_safe	T0240O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1959	1959	none	none
oligo_stoich_token_safe	T0257O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			3789	3789	none	none
oligo_stoich_token_safe	T0259O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			729	729	none	none
oligo_stoich_token_safe	T0270O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			2622	2622	none	none
oligo_stoich_token_safe	T1201O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			420	420	none	none
oligo_stoich_token_safe	T1206O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			474	474	none	none
oligo_stoich_token_safe	T1218O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			2328	2328	none	none
oligo_stoich_token_safe	T1234O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1239	1239	none	none
oligo_stoich_token_safe	T1235O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			690	690	none	none
oligo_stoich_token_safe	T1237O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1952	1952	none	none
oligo_stoich_token_safe	T1240O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1959	1959	none	none
oligo_stoich_token_safe	T1249V1O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1464	1464	none	none
oligo_stoich_token_safe	T1257O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			3789	3789	none	none
oligo_stoich_token_safe	T1259O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			729	729	none	none
oligo_stoich_token_safe	T1270O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			2622	2622	none	none
oligo_stoich_token_safe	T1292O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			392	392	none	none
oligo_stoich_token_safe	T1294V1O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			428	428	none	none
oligo_stoich_token_safe	T1295O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			3752	3752	none	none
oligo_stoich_token_safe	T1298O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			684	684	none	none
oligo_stoich_token_safe	T2201O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			420	420	none	none
oligo_stoich_token_safe	T2206O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			474	474	none	none
oligo_stoich_token_safe	T2218O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			2328	2328	none	none
oligo_stoich_token_safe	T2234O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1239	1239	none	none
oligo_stoich_token_safe	T2235O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			690	690	none	none
oligo_stoich_token_safe	T2237O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1952	1952	none	none
oligo_stoich_token_safe	T2240O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1959	1959	none	none
oligo_stoich_token_safe	T2249V1O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			1464	1464	none	none
oligo_stoich_token_safe	T2257O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			3789	3789	none	none
oligo_stoich_token_safe	T2259O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			729	729	none	none
oligo_stoich_token_safe	T2270O	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			2622	2622	none	none
oligo_stoich_token_safe	H1265_V1	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			293	293	none	none
oligo_stoich_token_safe	H1265_V2	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			293	293	none	none
oligo_stoich_token_safe	H1265_V3	protein_oligo	unchanged	official_oligo_state_unavailable	none	none			293	293	none	none
